property_url;broker_x;district_x;price_x;type_x;city_x;state_x;ref_x;category_x;area_x;lat_x;long_x;num_bedroom_x;num_bathroom_x;num_garage_x;broker_y;district_y;price_y;type_y;city_y;state_y;ref_y;category_y;area_y;lat_y;long_y;num_bedroom_y;num_bathroom_y;num_garage_y;added_date
https://www.silvioiwata.com.br/imovel/3620005604/apartamento-a-venda/maringa-pr-jd-america ;Silvio Iwata;Jd América;R$ 239.000,00;;Maringá;PR;;Apartamento;43,46 m²;-23.4248398;-51.8920816;2;1;1;;;;;;;;;;;;;;;2025-02-13
https://www.silvioiwata.com.br/imovel/3620005616/apartamento-a-venda/maringa-pr-jd-alvorada ;Silvio Iwata;Jd Alvorada;R$ 245.000,00;;Maringá;PR;;Apartamento;50,62 m²;-23.3913305;-51.9062024;2;1;1;;;;;;;;;;;;;;;2025-02-13
https://www.silvioiwata.com.br/imovel/3620005605/apartamento-a-venda/maringa-pr-loteamento-sumare ;Silvio Iwata;Loteamento Sumaré;R$ 280.000,00;;Maringá;PR;;Apartamento;57,86 m²;-23.3810992;-51.9054442;3;1;1;;;;;;;;;;;;;;;2025-02-13
https://www.silvioiwata.com.br/imovel/3620005613/casa-a-venda/maringa-pr-jd-sao-jorge ;Silvio Iwata;;R$ 430.000,00;;Maringá;PR;;Casa;;-23.39983;-51.9630346;2;;1;;;;;;;;;;;;;;;2025-02-13
https://www.silvioiwata.com.br/imovel/3620005606/apartamento-a-venda/maringa-pr-zona-08 ;Silvio Iwata;Zona 08;R$ 520.000,00;;Maringá;PR;;Apartamento;46,22 m²;-23.4349361;-51.9109103;1;2;1;;;;;;;;;;;;;;;2025-02-13
https://www.silvioiwata.com.br/imovel/3620005615/casa-a-venda/maringa-pr-pq-palmeiras ;Silvio Iwata;;R$ 579.000,00;;Maringá;PR;;Casa;112,69 m²;-23.3837328;-51.9405722;2.0;2;2;;;;;;;;;;;;;;;2025-02-13
https://www.silvioiwata.com.br/imovel/3620005611/casa-a-venda/maringa-pr-jd-oriental ;Silvio Iwata;;R$ 710.000,00;;Maringá;PR;;Casa;138,00 m²;-23.3710577;-51.9450022;3.0;2;2;;;;;;;;;;;;;;;2025-02-13
https://www.silvioiwata.com.br/imovel/3620005608/casa-a-venda/maringa-pr-jd-campos ;Silvio Iwata;;R$ 790.000,00;;Maringá;PR;;Casa;143,38 m²;-23.3757835;-51.9652952;3.0;3;2;;;;;;;;;;;;;;;2025-02-13
https://www.silvioiwata.com.br/imovel/3620004622/salao-comercial-a-venda/maringa-pr-zona-03 ;Silvio Iwata;;R$ 1.100.000,00;;Maringá;PR;;Salão Comercial;;-23.4248757;-51.9612123;6;2;1;;;;;;;;;;;;;;;2025-02-13
https://www.silvioiwata.com.br/imovel/3620005614/casa-em-condominio-a-venda/maringa-pr-loteamento-sumare ;Silvio Iwata;Loteamento Sumaré;R$ 3.200.000,00;;Maringá;PR;;Casa em Condomínio;279,00 m²;-23.351928837707874;-51.90037743430177;6.0;2;2;;;;;;;;;;;;;;;2025-02-13
https://www.pedrogranado.com.br/comprar/maringa/apartamento/padrao/jardim-aclimacao/67343;Pedro Granado Imóveis;Jardim Aclimacao;R$ 425.000,00;Padrão;Maringá;PR;67343.0;Apartamento;50,83 m²;-23.4209995;-51.9330558;2;1;-;;;;;;;;;;;;;;;2025-02-14
https://www.pedrogranado.com.br/comprar/maringa/casasobrado/sobrado/parque-lagoa-dourada/56033;Pedro Granado Imóveis;Parque Lagoa Dourada;R$ 690.000,00;Sobrado;Maringá;PR;56033.0;Casa/Sobrado;158,45 m²;-23.4512466;-51.9171236;3;3;1;;;;;;;;;;;;;;;2025-02-14
https://www.pedrogranado.com.br/comprar/maringa/casasobrado/casa/jardim-toquio/19163;Pedro Granado Imóveis;Jardim Tóquio;R$ 1.600.000,00;Casa;Maringá;PR;19163.0;Casa/Sobrado;300,00 m²;-23.3890635;-51.9237264;3;3;1;;;;;;;;;;;;;;;2025-02-14
https://www.pedrogranado.com.br/comprar/maringa/casasobrado/sobrado/jardim-oriental/00263;Pedro Granado Imóveis;Jardim Oriental;Consulte-nos;Sobrado;Maringá;PR;263.0;Casa/Sobrado;435,00 m²;-23.368423;-51.94030129999999;3;4;3;;;;;;;;;;;;;;;2025-02-14
